run,number_of_reads
Tbi_01_L2_OBIWAN_314_R1,34324618
Tbi_01_L2_OBIWAN_314_R2,34324618
Tbi_01_L2_OBIWAN_314_se,5221273
Tbi_01_L4_OBIWAN_309_R1,34114052
Tbi_01_L4_OBIWAN_309_R2,34114052
Tbi_01_L4_OBIWAN_309_se,5445160
Tbi_01_L4_OBIWAN_312_R1,34366835
Tbi_01_L4_OBIWAN_312_R2,34366835
Tbi_01_L4_OBIWAN_312_se,6442183
Tbi_02_L2_OBIWAN_314_R1,38379440
Tbi_02_L2_OBIWAN_314_R2,38379440
Tbi_02_L2_OBIWAN_314_se,5803990
Tbi_02_L4_OBIWAN_309_R1,38311768
Tbi_02_L4_OBIWAN_309_R2,38311768
Tbi_02_L4_OBIWAN_309_se,6115066
Tbi_02_L4_OBIWAN_312_R1,38307761
Tbi_02_L4_OBIWAN_312_R2,38307761
Tbi_02_L4_OBIWAN_312_se,7051325
Tbi_03_L2_OBIWAN_314_R1,65087996
Tbi_03_L2_OBIWAN_314_R2,65087996
Tbi_03_L2_OBIWAN_314_se,10170875
Tbi_03_L4_OBIWAN_309_R1,65163955
Tbi_03_L4_OBIWAN_309_R2,65163955
Tbi_03_L4_OBIWAN_309_se,10829116
Tbi_03_L4_OBIWAN_312_R1,64728132
Tbi_03_L4_OBIWAN_312_R2,64728132
Tbi_03_L4_OBIWAN_312_se,12344108
Tbi_04_L2_OBIWAN_314_R1,39575294
Tbi_04_L2_OBIWAN_314_R2,39575294
Tbi_04_L2_OBIWAN_314_se,6306552
Tbi_04_L4_OBIWAN_309_R1,39317790
Tbi_04_L4_OBIWAN_309_R2,39317790
Tbi_04_L4_OBIWAN_309_se,6562849
Tbi_04_L4_OBIWAN_312_R1,39415985
Tbi_04_L4_OBIWAN_312_R2,39415985
Tbi_04_L4_OBIWAN_312_se,7669699
Tbi_05_L2_OBIWAN_314_R1,33299948
Tbi_05_L2_OBIWAN_314_R2,33299948
Tbi_05_L2_OBIWAN_314_se,5785850
Tbi_05_L4_OBIWAN_309_R1,33434319
Tbi_05_L4_OBIWAN_309_R2,33434319
Tbi_05_L4_OBIWAN_309_se,6045436
Tbi_05_L4_OBIWAN_312_R1,32840722
Tbi_05_L4_OBIWAN_312_R2,32840722
Tbi_05_L4_OBIWAN_312_se,7016490
Tce_01_L1_OBIWAN_309_R1,50020016
Tce_01_L1_OBIWAN_309_R2,50020016
Tce_01_L1_OBIWAN_309_se,7348833
Tce_01_L3_OBIWAN_314_R1,49980955
Tce_01_L3_OBIWAN_314_R2,49980955
Tce_01_L3_OBIWAN_314_se,7871777
Tce_01_L5_OBIWAN_312_R1,51167771
Tce_01_L5_OBIWAN_312_R2,51167771
Tce_01_L5_OBIWAN_312_se,8850506
Tce_02_L1_OBIWAN_309_R1,37013270
Tce_02_L1_OBIWAN_309_R2,37013270
Tce_02_L1_OBIWAN_309_se,6536427
Tce_02_L3_OBIWAN_314_R1,36748445
Tce_02_L3_OBIWAN_314_R2,36748445
Tce_02_L3_OBIWAN_314_se,7110737
Tce_02_L5_OBIWAN_312_R1,37467359
Tce_02_L5_OBIWAN_312_R2,37467359
Tce_02_L5_OBIWAN_312_se,7838053
Tce_03_L1_OBIWAN_309_R1,39692584
Tce_03_L1_OBIWAN_309_R2,39692584
Tce_03_L1_OBIWAN_309_se,6566237
Tce_03_L3_OBIWAN_314_R1,39441446
Tce_03_L3_OBIWAN_314_R2,39441446
Tce_03_L3_OBIWAN_314_se,7021386
Tce_03_L5_OBIWAN_312_R1,40181732
Tce_03_L5_OBIWAN_312_R2,40181732
Tce_03_L5_OBIWAN_312_se,7831747
Tce_04_L1_OBIWAN_309_R1,34052380
Tce_04_L1_OBIWAN_309_R2,34052380
Tce_04_L1_OBIWAN_309_se,5858122
Tce_04_L3_OBIWAN_314_R1,33868324
Tce_04_L3_OBIWAN_314_R2,33868324
Tce_04_L3_OBIWAN_314_se,6255458
Tce_04_L5_OBIWAN_312_R1,34349023
Tce_04_L5_OBIWAN_312_R2,34349023
Tce_04_L5_OBIWAN_312_se,6912017
Tce_05_L1_OBIWAN_309_R1,37009952
Tce_05_L1_OBIWAN_309_R2,37009952
Tce_05_L1_OBIWAN_309_se,5253911
Tce_05_L3_OBIWAN_314_R1,37219619
Tce_05_L3_OBIWAN_314_R2,37219619
Tce_05_L3_OBIWAN_314_se,5629469
Tce_05_L5_OBIWAN_312_R1,38055484
Tce_05_L5_OBIWAN_312_R2,38055484
Tce_05_L5_OBIWAN_312_se,6378346
Tcm_01_L2_OBIWAN_309_R1,38115950
Tcm_01_L2_OBIWAN_309_R2,38115950
Tcm_01_L2_OBIWAN_309_se,6575179
Tcm_01_L4_OBIWAN_314_R1,38252409
Tcm_01_L4_OBIWAN_314_R2,38252409
Tcm_01_L4_OBIWAN_314_se,7002582
Tcm_01_L6_OBIWAN_312_R1,38153177
Tcm_01_L6_OBIWAN_312_R2,38153177
Tcm_01_L6_OBIWAN_312_se,6906467
Tcm_02_L2_OBIWAN_309_R1,39191329
Tcm_02_L2_OBIWAN_309_R2,39191329
Tcm_02_L2_OBIWAN_309_se,6283486
Tcm_02_L4_OBIWAN_314_R1,39293677
Tcm_02_L4_OBIWAN_314_R2,39293677
Tcm_02_L4_OBIWAN_314_se,6551246
Tcm_02_L6_OBIWAN_312_R1,39060415
Tcm_02_L6_OBIWAN_312_R2,39060415
Tcm_02_L6_OBIWAN_312_se,6554464
Tcm_03_L2_OBIWAN_309_R1,42328751
Tcm_03_L2_OBIWAN_309_R2,42328751
Tcm_03_L2_OBIWAN_309_se,6674380
Tcm_03_L4_OBIWAN_314_R1,42541433
Tcm_03_L4_OBIWAN_314_R2,42541433
Tcm_03_L4_OBIWAN_314_se,7004586
Tcm_03_L6_OBIWAN_312_R1,42387227
Tcm_03_L6_OBIWAN_312_R2,42387227
Tcm_03_L6_OBIWAN_312_se,6993938
Tcm_04_L2_OBIWAN_309_R1,33788315
Tcm_04_L2_OBIWAN_309_R2,33788315
Tcm_04_L2_OBIWAN_309_se,5717796
Tcm_04_L4_OBIWAN_314_R1,33978856
Tcm_04_L4_OBIWAN_314_R2,33978856
Tcm_04_L4_OBIWAN_314_se,6099667
Tcm_04_L6_OBIWAN_312_R1,33830217
Tcm_04_L6_OBIWAN_312_R2,33830217
Tcm_04_L6_OBIWAN_312_se,6043234
Tcm_05_L2_OBIWAN_309_R1,35293536
Tcm_05_L2_OBIWAN_309_R2,35293536
Tcm_05_L2_OBIWAN_309_se,5850161
Tcm_05_L4_OBIWAN_314_R1,35425787
Tcm_05_L4_OBIWAN_314_R2,35425787
Tcm_05_L4_OBIWAN_314_se,6168489
Tcm_05_L6_OBIWAN_312_R1,35277461
Tcm_05_L6_OBIWAN_312_R2,35277461
Tcm_05_L6_OBIWAN_312_se,6140265
Tdi_01_L2_OBIWAN_312_R1,34423645
Tdi_01_L2_OBIWAN_312_R2,34423645
Tdi_01_L2_OBIWAN_312_se,4682607
Tdi_01_L4_OBIWAN_307_R1,33906011
Tdi_01_L4_OBIWAN_307_R2,33906011
Tdi_01_L4_OBIWAN_307_se,6918012
Tdi_01_L7_OBIWAN_310_R1,39411900
Tdi_01_L7_OBIWAN_310_R2,39411900
Tdi_01_L7_OBIWAN_310_se,5439960
Tdi_02_L2_OBIWAN_312_R1,34718185
Tdi_02_L2_OBIWAN_312_R2,34718185
Tdi_02_L2_OBIWAN_312_se,4185161
Tdi_02_L4_OBIWAN_307_R1,35090934
Tdi_02_L4_OBIWAN_307_R2,35090934
Tdi_02_L4_OBIWAN_307_se,6136611
Tdi_02_L7_OBIWAN_310_R1,40213276
Tdi_02_L7_OBIWAN_310_R2,40213276
Tdi_02_L7_OBIWAN_310_se,4905319
Tdi_03_L2_OBIWAN_312_R1,36055899
Tdi_03_L2_OBIWAN_312_R2,36055899
Tdi_03_L2_OBIWAN_312_se,4126414
Tdi_03_L4_OBIWAN_307_R1,36220146
Tdi_03_L4_OBIWAN_307_R2,36220146
Tdi_03_L4_OBIWAN_307_se,6103601
Tdi_03_L7_OBIWAN_310_R1,41511364
Tdi_03_L7_OBIWAN_310_R2,41511364
Tdi_03_L7_OBIWAN_310_se,4806223
Tdi_04_L2_OBIWAN_312_R1,32785229
Tdi_04_L2_OBIWAN_312_R2,32785229
Tdi_04_L2_OBIWAN_312_se,3971301
Tdi_04_L4_OBIWAN_307_R1,32830098
Tdi_04_L4_OBIWAN_307_R2,32830098
Tdi_04_L4_OBIWAN_307_se,5807652
Tdi_04_L7_OBIWAN_310_R1,37725378
Tdi_04_L7_OBIWAN_310_R2,37725378
Tdi_04_L7_OBIWAN_310_se,4581794
Tdi_05_L2_OBIWAN_312_R1,34895000
Tdi_05_L2_OBIWAN_312_R2,34895000
Tdi_05_L2_OBIWAN_312_se,4406236
Tdi_05_L4_OBIWAN_307_R1,34620003
Tdi_05_L4_OBIWAN_307_R2,34620003
Tdi_05_L4_OBIWAN_307_se,6614182
Tdi_05_L7_OBIWAN_310_R1,40086386
Tdi_05_L7_OBIWAN_310_R2,40086386
Tdi_05_L7_OBIWAN_310_se,5118438
Tge_01_L3_OBIWAN_310_R1,33454656
Tge_01_L3_OBIWAN_310_R2,33454656
Tge_01_L3_OBIWAN_310_se,4100061
Tge_01_L7_OBIWAN_314_R1,34114268
Tge_01_L7_OBIWAN_314_R2,34114268
Tge_01_L7_OBIWAN_314_se,4604575
Tge_01_L8_OBIWAN_307_R1,30171955
Tge_01_L8_OBIWAN_307_R2,30171955
Tge_01_L8_OBIWAN_307_se,4653759
Tge_02_L3_OBIWAN_310_R1,44570172
Tge_02_L3_OBIWAN_310_R2,44570172
Tge_02_L3_OBIWAN_310_se,5529707
Tge_02_L7_OBIWAN_314_R1,45453197
Tge_02_L7_OBIWAN_314_R2,45453197
Tge_02_L7_OBIWAN_314_se,6363402
Tge_02_L8_OBIWAN_307_R1,40076412
Tge_02_L8_OBIWAN_307_R2,40076412
Tge_02_L8_OBIWAN_307_se,6479860
Tge_03_L3_OBIWAN_310_R1,42209546
Tge_03_L3_OBIWAN_310_R2,42209546
Tge_03_L3_OBIWAN_310_se,4781499
Tge_03_L7_OBIWAN_314_R1,43055093
Tge_03_L7_OBIWAN_314_R2,43055093
Tge_03_L7_OBIWAN_314_se,5329640
Tge_03_L8_OBIWAN_307_R1,38251141
Tge_03_L8_OBIWAN_307_R2,38251141
Tge_03_L8_OBIWAN_307_se,5421117
Tge_04_L3_OBIWAN_310_R1,32712578
Tge_04_L3_OBIWAN_310_R2,32712578
Tge_04_L3_OBIWAN_310_se,3871105
Tge_04_L7_OBIWAN_314_R1,33312700
Tge_04_L7_OBIWAN_314_R2,33312700
Tge_04_L7_OBIWAN_314_se,4286928
Tge_04_L8_OBIWAN_307_R1,29704561
Tge_04_L8_OBIWAN_307_R2,29704561
Tge_04_L8_OBIWAN_307_se,4397162
Tge_05_L3_OBIWAN_310_R1,39732148
Tge_05_L3_OBIWAN_310_R2,39732148
Tge_05_L3_OBIWAN_310_se,4843847
Tge_05_L7_OBIWAN_314_R1,40624169
Tge_05_L7_OBIWAN_314_R2,40624169
Tge_05_L7_OBIWAN_314_se,5482059
Tge_05_L8_OBIWAN_307_R1,35950424
Tge_05_L8_OBIWAN_307_R2,35950424
Tge_05_L8_OBIWAN_307_se,5573272
Tms_01_L5_OBIWAN_310_R1,36288274
Tms_01_L5_OBIWAN_310_R2,36288274
Tms_01_L5_OBIWAN_310_se,5129006
Tms_01_L6_OBIWAN_314_R1,36184976
Tms_01_L6_OBIWAN_314_R2,36184976
Tms_01_L6_OBIWAN_314_se,5751509
Tms_01_L7_OBIWAN_307_R1,32353606
Tms_01_L7_OBIWAN_307_R2,32353606
Tms_01_L7_OBIWAN_307_se,6248482
Tms_02_L5_OBIWAN_310_R1,38487909
Tms_02_L5_OBIWAN_310_R2,38487909
Tms_02_L5_OBIWAN_310_se,5188993
Tms_02_L6_OBIWAN_314_R1,38099679
Tms_02_L6_OBIWAN_314_R2,38099679
Tms_02_L6_OBIWAN_314_se,5701317
Tms_02_L7_OBIWAN_307_R1,34345030
Tms_02_L7_OBIWAN_307_R2,34345030
Tms_02_L7_OBIWAN_307_se,6281676
Tms_03_L5_OBIWAN_310_R1,38639426
Tms_03_L5_OBIWAN_310_R2,38639426
Tms_03_L5_OBIWAN_310_se,5205667
Tms_03_L6_OBIWAN_314_R1,42989114
Tms_03_L6_OBIWAN_314_R2,42989114
Tms_03_L6_OBIWAN_314_se,6514716
Tms_03_L7_OBIWAN_307_R1,34629589
Tms_03_L7_OBIWAN_307_R2,34629589
Tms_03_L7_OBIWAN_307_se,6285122
Tms_04_L5_OBIWAN_310_R1,50911530
Tms_04_L5_OBIWAN_310_R2,50911530
Tms_04_L5_OBIWAN_310_se,7454472
Tms_04_L6_OBIWAN_314_R1,46999347
Tms_04_L6_OBIWAN_314_R2,46999347
Tms_04_L6_OBIWAN_314_se,7675708
Tms_04_L7_OBIWAN_307_R1,45070628
Tms_04_L7_OBIWAN_307_R2,45070628
Tms_04_L7_OBIWAN_307_se,9117179
Tms_05_L5_OBIWAN_310_R1,44212324
Tms_05_L5_OBIWAN_310_R2,44212324
Tms_05_L5_OBIWAN_310_se,6213524
Tms_05_L6_OBIWAN_314_R1,44288461
Tms_05_L6_OBIWAN_314_R2,44288461
Tms_05_L6_OBIWAN_314_se,7015745
Tms_05_L7_OBIWAN_307_R1,39299573
Tms_05_L7_OBIWAN_307_R2,39299573
Tms_05_L7_OBIWAN_307_se,7592649
Tpa_01_L4_OBIWAN_310_R1,35794529
Tpa_01_L4_OBIWAN_310_R2,35794529
Tpa_01_L4_OBIWAN_310_se,4984500
Tpa_01_L5_OBIWAN_307_R1,31793522
Tpa_01_L5_OBIWAN_307_R2,31793522
Tpa_01_L5_OBIWAN_307_se,5982966
Tpa_01_L8_OBIWAN_314_R1,36888808
Tpa_01_L8_OBIWAN_314_R2,36888808
Tpa_01_L8_OBIWAN_314_se,5579536
Tpa_02_L4_OBIWAN_310_R1,37271973
Tpa_02_L4_OBIWAN_310_R2,37271973
Tpa_02_L4_OBIWAN_310_se,5638847
Tpa_02_L5_OBIWAN_307_R1,32983809
Tpa_02_L5_OBIWAN_307_R2,32983809
Tpa_02_L5_OBIWAN_307_se,6759224
Tpa_02_L8_OBIWAN_314_R1,38022237
Tpa_02_L8_OBIWAN_314_R2,38022237
Tpa_02_L8_OBIWAN_314_se,6275520
Tpa_03_L4_OBIWAN_310_R1,35729946
Tpa_03_L4_OBIWAN_310_R2,35729946
Tpa_03_L4_OBIWAN_310_se,4749843
Tpa_03_L5_OBIWAN_307_R1,31947668
Tpa_03_L5_OBIWAN_307_R2,31947668
Tpa_03_L5_OBIWAN_307_se,5657645
Tpa_03_L8_OBIWAN_314_R1,36772130
Tpa_03_L8_OBIWAN_314_R2,36772130
Tpa_03_L8_OBIWAN_314_se,5370730
Tpa_04_L4_OBIWAN_310_R1,35310160
Tpa_04_L4_OBIWAN_310_R2,35310160
Tpa_04_L4_OBIWAN_310_se,4556487
Tpa_04_L5_OBIWAN_307_R1,31644451
Tpa_04_L5_OBIWAN_307_R2,31644451
Tpa_04_L5_OBIWAN_307_se,5393535
Tpa_04_L8_OBIWAN_314_R1,37021900
Tpa_04_L8_OBIWAN_314_R2,37021900
Tpa_04_L8_OBIWAN_314_se,5188240
Tpa_05_L4_OBIWAN_310_R1,58365533
Tpa_05_L4_OBIWAN_310_R2,58365533
Tpa_05_L4_OBIWAN_310_se,8722314
Tpa_05_L5_OBIWAN_307_R1,50772438
Tpa_05_L5_OBIWAN_307_R2,50772438
Tpa_05_L5_OBIWAN_307_se,10861512
Tpa_05_L8_OBIWAN_314_R1,60129696
Tpa_05_L8_OBIWAN_314_R2,60129696
Tpa_05_L8_OBIWAN_314_se,9981700
Tps_01_L3_OBIWAN_307_R1,40575049
Tps_01_L3_OBIWAN_307_R2,40575049
Tps_01_L3_OBIWAN_307_se,8246878
Tps_01_L3_OBIWAN_312_R1,42378186
Tps_01_L3_OBIWAN_312_R2,42378186
Tps_01_L3_OBIWAN_312_se,5696160
Tps_01_L8_OBIWAN_310_R1,47228235
Tps_01_L8_OBIWAN_310_R2,47228235
Tps_01_L8_OBIWAN_310_se,6363839
Tps_02_L3_OBIWAN_307_R1,32797961
Tps_02_L3_OBIWAN_307_R2,32797961
Tps_02_L3_OBIWAN_307_se,6543846
Tps_02_L3_OBIWAN_312_R1,32812781
Tps_02_L3_OBIWAN_312_R2,32812781
Tps_02_L3_OBIWAN_312_se,4617878
Tps_02_L8_OBIWAN_310_R1,37544866
Tps_02_L8_OBIWAN_310_R2,37544866
Tps_02_L8_OBIWAN_310_se,5247420
Tps_03_L3_OBIWAN_307_R1,41342300
Tps_03_L3_OBIWAN_307_R2,41342300
Tps_03_L3_OBIWAN_307_se,8544546
Tps_03_L3_OBIWAN_312_R1,41377298
Tps_03_L3_OBIWAN_312_R2,41377298
Tps_03_L3_OBIWAN_312_se,5995395
Tps_03_L8_OBIWAN_310_R1,47519194
Tps_03_L8_OBIWAN_310_R2,47519194
Tps_03_L8_OBIWAN_310_se,6848690
Tps_04_L3_OBIWAN_307_R1,34804685
Tps_04_L3_OBIWAN_307_R2,34804685
Tps_04_L3_OBIWAN_307_se,8192432
Tps_04_L3_OBIWAN_312_R1,35919284
Tps_04_L3_OBIWAN_312_R2,35919284
Tps_04_L3_OBIWAN_312_se,5848510
Tps_04_L8_OBIWAN_310_R1,40580337
Tps_04_L8_OBIWAN_310_R2,40580337
Tps_04_L8_OBIWAN_310_se,6630520
Tps_05_L3_OBIWAN_307_R1,37884165
Tps_05_L3_OBIWAN_307_R2,37884165
Tps_05_L3_OBIWAN_307_se,8477601
Tps_05_L3_OBIWAN_312_R1,39020431
Tps_05_L3_OBIWAN_312_R2,39020431
Tps_05_L3_OBIWAN_312_se,6029435
Tps_05_L8_OBIWAN_310_R1,44005926
Tps_05_L8_OBIWAN_310_R2,44005926
Tps_05_L8_OBIWAN_310_se,6857559
Tsi_01_L1_OBIWAN_312_R1,30306826
Tsi_01_L1_OBIWAN_312_R2,30306826
Tsi_01_L1_OBIWAN_312_se,4248525
Tsi_01_L6_OBIWAN_307_R1,30146751
Tsi_01_L6_OBIWAN_307_R2,30146751
Tsi_01_L6_OBIWAN_307_se,6022282
Tsi_01_L6_OBIWAN_310_R1,35417623
Tsi_01_L6_OBIWAN_310_R2,35417623
Tsi_01_L6_OBIWAN_310_se,5464144
Tsi_02_L1_OBIWAN_312_R1,30186278
Tsi_02_L1_OBIWAN_312_R2,30186278
Tsi_02_L1_OBIWAN_312_se,4768447
Tsi_02_L6_OBIWAN_307_R1,29248124
Tsi_02_L6_OBIWAN_307_R2,29248124
Tsi_02_L6_OBIWAN_307_se,6900894
Tsi_02_L6_OBIWAN_310_R1,34698308
Tsi_02_L6_OBIWAN_310_R2,34698308
Tsi_02_L6_OBIWAN_310_se,6151045
Tsi_03_L1_OBIWAN_312_R1,37895021
Tsi_03_L1_OBIWAN_312_R2,37895021
Tsi_03_L1_OBIWAN_312_se,4900805
Tsi_03_L6_OBIWAN_307_R1,38205982
Tsi_03_L6_OBIWAN_307_R2,38205982
Tsi_03_L6_OBIWAN_307_se,7155239
Tsi_03_L6_OBIWAN_310_R1,44793309
Tsi_03_L6_OBIWAN_310_R2,44793309
Tsi_03_L6_OBIWAN_310_se,6402875
Tsi_04_L1_OBIWAN_312_R1,35103895
Tsi_04_L1_OBIWAN_312_R2,35103895
Tsi_04_L1_OBIWAN_312_se,3945808
Tsi_04_L6_OBIWAN_307_R1,35714903
Tsi_04_L6_OBIWAN_307_R2,35714903
Tsi_04_L6_OBIWAN_307_se,5628442
Tsi_04_L6_OBIWAN_310_R1,41602452
Tsi_04_L6_OBIWAN_310_R2,41602452
Tsi_04_L6_OBIWAN_310_se,5083648
Tsi_05_L1_OBIWAN_312_R1,41434223
Tsi_05_L1_OBIWAN_312_R2,41434223
Tsi_05_L1_OBIWAN_312_se,4857963
Tsi_05_L6_OBIWAN_307_R1,42460945
Tsi_05_L6_OBIWAN_307_R2,42460945
Tsi_05_L6_OBIWAN_307_se,7067236
Tsi_05_L6_OBIWAN_310_R1,49344986
Tsi_05_L6_OBIWAN_310_R2,49344986
Tsi_05_L6_OBIWAN_310_se,6399823
Tte_01_L1_OBIWAN_314_R1,37155988
Tte_01_L1_OBIWAN_314_R2,37155988
Tte_01_L1_OBIWAN_314_se,6947730
Tte_01_L3_OBIWAN_309_R1,34613286
Tte_01_L3_OBIWAN_309_R2,34613286
Tte_01_L3_OBIWAN_309_se,5303155
Tte_01_L5_OBIWAN_314_R1,36952337
Tte_01_L5_OBIWAN_314_R2,36952337
Tte_01_L5_OBIWAN_314_se,7210054
Tte_02_L1_OBIWAN_314_R1,39575003
Tte_02_L1_OBIWAN_314_R2,39575003
Tte_02_L1_OBIWAN_314_se,7486154
Tte_02_L3_OBIWAN_309_R1,36937769
Tte_02_L3_OBIWAN_309_R2,36937769
Tte_02_L3_OBIWAN_309_se,5884004
Tte_02_L5_OBIWAN_314_R1,39632494
Tte_02_L5_OBIWAN_314_R2,39632494
Tte_02_L5_OBIWAN_314_se,7707789
Tte_03_L1_OBIWAN_314_R1,49963705
Tte_03_L1_OBIWAN_314_R2,49963705
Tte_03_L1_OBIWAN_314_se,9113677
Tte_03_L3_OBIWAN_309_R1,46121363
Tte_03_L3_OBIWAN_309_R2,46121363
Tte_03_L3_OBIWAN_309_se,7002799
Tte_03_L5_OBIWAN_314_R1,50218145
Tte_03_L5_OBIWAN_314_R2,50218145
Tte_03_L5_OBIWAN_314_se,9307675
Tte_04_L1_OBIWAN_314_R1,42052438
Tte_04_L1_OBIWAN_314_R2,42052438
Tte_04_L1_OBIWAN_314_se,8701611
Tte_04_L3_OBIWAN_309_R1,39717882
Tte_04_L3_OBIWAN_309_R2,39717882
Tte_04_L3_OBIWAN_309_se,6751427
Tte_04_L5_OBIWAN_314_R1,41932963
Tte_04_L5_OBIWAN_314_R2,41932963
Tte_04_L5_OBIWAN_314_se,9023107
Tte_05_L1_OBIWAN_314_R1,44656319
Tte_05_L1_OBIWAN_314_R2,44656319
Tte_05_L1_OBIWAN_314_se,7731490
Tte_05_L3_OBIWAN_309_R1,41531397
Tte_05_L3_OBIWAN_309_R2,41531397
Tte_05_L3_OBIWAN_309_se,6110762
Tte_05_L5_OBIWAN_314_R1,45028559
Tte_05_L5_OBIWAN_314_R2,45028559
Tte_05_L5_OBIWAN_314_se,7957389
